,Rk,School,Conf,AP Rank,W,L,OSRS,DSRS,SRS,Off,Def,PYdPer,OPYdPer,RYdPer,ORYdPer,YdPer,OYdPer
90,91,Purdue,Big Ten (West),,3,9,-2.50,-3.83,-6.33,38.08,16.71,6.50,5.46,5.69,3.43,6.05,4.33
91,92,Texas State,Sun Belt,,7,5,-1.76,-4.67,-6.43,40.71,18.74,7.63,6.18,5.32,4.31,6.39,5.05
92,93,Appalachian State,Sun Belt,,7,5,-1.16,-5.41,-6.56,43.44,20.73,8.58,6.23,5.60,3.82,6.80,4.89
93,94,Bowling Green State,MAC (East),,8,6,-0.59,-6.07,-6.66,38.98,24.14,7.25,6.28,5.00,4.20,6.14,5.15
94,95,Wyoming,MWC (Mountain),,4,8,-5.44,-1.26,-6.69,33.25,19.80,8.32,6.93,4.81,4.34,6.35,5.49
95,96,Kansas,Big 12,,3,9,-8.27,1.42,-6.86,33.28,15.48,7.92,5.72,4.22,4.47,5.86,4.98
96,97,Florida International,CUSA (East),,4,8,-7.40,0.44,-6.95,32.89,13.31,7.10,6.07,3.70,3.38,5.09,4.55
97,98,Vanderbilt,SEC (East),,3,9,-6.74,-0.23,-6.97,34.21,16.52,7.70,6.00,4.48,3.46,6.02,4.42
98,99,South Alabama,Sun Belt,,6,7,-8.40,0.77,-7.63,31.54,13.88,7.02,5.94,4.47,3.63,5.63,4.56
99,100,Wake Forest,ACC (Atlantic),,3,9,-8.50,0.86,-7.64,31.79,14.69,7.09,5.42,2.41,3.65,4.72,4.34
100,101,New Mexico,MWC (Mountain),,4,8,0.78,-8.58,-7.80,39.42,25.83,7.85,7.28,7.01,5.22,7.24,6.06
101,102,Ball State,MAC (West),,5,7,-3.14,-5.22,-8.35,34.26,20.01,6.80,6.39,4.56,4.31,5.61,5.27
102,103,UTSA,CUSA (West),,4,8,-11.19,2.57,-8.62,28.21,13.45,6.74,6.33,3.86,3.01,5.16,4.46
103,104,Iowa State,Big 12,,2,10,-2.63,-6.01,-8.64,38.59,21.10,7.21,5.77,4.89,4.73,6.14,5.17
104,105,Hawaii,MWC (West),,4,9,-6.35,-2.73,-9.08,32.09,17.77,6.91,6.74,4.13,3.65,5.45,4.95
105,106,Akron,MAC (East),,5,7,-9.20,-0.03,-9.23,31.01,15.73,6.43,6.08,4.61,3.61,5.71,4.65
106,107,Buffalo,MAC (East),,5,6,-0.20,-9.14,-9.34,38.67,25.34,8.27,7.69,4.86,3.99,6.40,5.36
107,108,San Jose State,MWC (West),,3,9,-8.81,-0.67,-9.49,31.75,19.11,7.65,4.76,4.30,4.44,5.98,4.60
108,109,Florida Atlantic,CUSA (East),,3,9,-6.06,-3.62,-9.68,34.94,19.41,7.34,5.68,5.14,4.73,6.16,5.18
109,110,Ohio,MAC (East),,6,6,-9.37,-0.42,-9.79,28.64,15.55,7.21,6.34,4.63,3.35,5.87,4.80
110,111,Louisiana-Monroe,Sun Belt,,4,8,-9.52,-0.30,-9.82,30.58,13.31,7.43,5.67,2.50,3.66,5.39,4.43
111,112,South Florida,American,,4,8,-9.83,-1.07,-10.90,28.72,14.82,7.52,6.51,4.28,3.77,5.89,4.84
112,113,Southern Mississippi,CUSA (West),,3,9,-7.17,-3.74,-10.91,32.63,20.82,7.86,6.33,3.99,4.55,6.10,5.41
113,114,Tulane,American,,3,9,-11.50,0.12,-11.38,29.26,15.18,6.50,6.20,4.89,3.52,5.71,4.74
114,115,North Texas,CUSA (West),,4,8,-5.24,-6.67,-11.91,38.83,22.63,7.31,6.44,4.48,4.02,5.69,5.13
115,116,Massachusetts,MAC (East),,3,9,-2.70,-9.91,-12.61,36.83,25.59,8.41,6.57,4.04,4.26,6.51,5.24
116,117,Army,Ind,,4,8,-4.11,-8.84,-12.95,34.54,25.02,7.90,6.88,5.98,5.14,6.33,6.01
117,118,Kent State,MAC (East),,2,9,-12.84,-0.20,-13.04,27.14,18.90,6.75,6.39,4.01,4.07,5.64,4.96
118,119,Miami (OH),MAC (East),,2,10,-6.00,-7.99,-13.99,32.83,22.90,7.89,6.20,4.18,4.46,6.32,5.16
119,120,Troy,Sun Belt,,3,9,-8.84,-5.82,-14.67,31.33,25.25,7.58,6.54,4.51,5.16,5.92,5.63
120,121,Tulsa,American,,2,10,-1.82,-13.41,-15.23,38.84,28.56,7.81,8.06,4.58,4.85,6.19,6.17
121,122,Connecticut,American,,2,10,-12.13,-3.60,-15.72,27.26,18.99,6.90,5.63,4.13,3.70,5.40,4.52
122,123,Nevada-Las Vegas,MWC (West),,2,11,-4.53,-11.66,-16.18,34.04,28.40,7.69,7.84,4.33,4.83,6.05,5.94
123,124,SMU,American,,1,11,-16.87,-1.30,-18.17,24.77,24.82,5.79,7.38,4.34,4.60,5.12,5.56
124,125,New Mexico State,Sun Belt,,2,10,-6.08,-12.40,-18.48,33.11,29.78,7.04,6.14,4.53,5.68,5.83,5.78
125,126,Idaho,Sun Belt,,1,10,-4.93,-14.74,-19.67,35.32,28.68,7.78,8.68,3.87,5.07,5.86,6.23
126,127,Eastern Michigan,MAC (West),,2,10,-14.75,-5.07,-19.82,24.76,29.48,6.38,7.66,4.45,4.61,5.22,5.85
127,128,Georgia State,Sun Belt,,1,11,-5.55,-14.87,-20.41,33.57,32.69,8.53,6.14,3.54,5.60,6.19,5.89
